Tournament,Group,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Result,GR
France 1998,E,2,Mexico,3,1,2,0,7,5,+2,5,Advance to knockout stage,
France 1998,E,3,Belgium,3,0,3,0,3,3,0,3,Eliminated,
France 1998,E,4,South Korea,3,0,1,2,2,9,-7,1,Eliminated,
France 1998,F,1,Germany,3,2,1,0,6,2,+4,7,Advance to knockout stage,
France 1998,F,2,FR Yugoslavia,3,2,1,0,4,2,+2,7,Advance to knockout stage,
France 1998,F,3,Iran,3,1,0,2,2,4,-2,3,Eliminated,
France 1998,F,4,United States,3,0,0,3,1,5,-4,0,Eliminated,
France 1998,G,1,Romania,3,2,1,0,4,2,+2,7,Advance to knockout stage,
France 1998,G,2,England,3,2,0,1,5,2,+3,6,Advance to knockout stage,
France 1998,G,3,Colombia,3,1,0,2,1,3,-2,3,Eliminated,
France 1998,G,4,Tunisia,3,0,1,2,1,4,-3,1,Eliminated,
France 1998,H,1,Argentina,3,3,0,0,7,0,+7,9,Advance to knockout stage,
France 1998,H,2,Croatia,3,2,0,1,4,2,+2,6,Advance to knockout stage,
France 1998,H,3,Jamaica,3,1,0,2,3,9,-6,3,Eliminated,
France 1998,H,4,Japan,3,0,0,3,1,4,-3,0,Eliminated,
Korea/Japan 2002,A,1,Denmark,3,2,1,0,5,2,+3,7,Advance to knockout stage,
Korea/Japan 2002,A,2,Senegal,3,1,2,0,5,4,+1,5,Advance to knockout stage,
Korea/Japan 2002,A,3,Uruguay,3,0,2,1,4,5,-1,2,Eliminated,
Korea/Japan 2002,A,4,France,3,0,1,2,0,3,-3,1,Eliminated,
Korea/Japan 2002,B,1,Spain,3,3,0,0,9,4,+5,9,Advance to knockout stage,
Korea/Japan 2002,B,2,Paraguay,3,1,1,1,6,6,0,4,Advance to knockout stage,
Korea/Japan 2002,B,3,South Africa,3,1,1,1,5,5,0,4,Eliminated,
Korea/Japan 2002,B,4,Slovenia,3,0,0,3,2,7,-5,0,Eliminated,
Korea/Japan 2002,C,1,Brazil,3,3,0,0,11,3,+8,9,Advance to knockout stage,
Korea/Japan 2002,C,2,Turkey,3,1,1,1,5,3,+2,4,Advance to knockout stage,
Korea/Japan 2002,C,3,Costa Rica,3,1,1,1,5,6,-1,4,Eliminated,
Korea/Japan 2002,C,4,China,3,0,0,3,0,9,-9,0,Eliminated,
Korea/Japan 2002,D,1,South Korea,3,2,1,0,4,1,+3,7,Advance to knockout stage,
Korea/Japan 2002,D,2,United States,3,1,1,1,5,6,-1,4,Advance to knockout stage,
Korea/Japan 2002,D,3,Portugal,3,1,0,2,6,4,+2,3,Eliminated,
Korea/Japan 2002,D,4,Poland,3,1,0,2,3,7,-4,3,Eliminated,
Korea/Japan 2002,E,1,Germany,3,2,1,0,11,1,+10,7,Advance to knockout stage,
Korea/Japan 2002,E,2,Republic of Ireland,3,1,2,0,5,2,+3,5,Advance to knockout stage,
Korea/Japan 2002,E,3,Cameroon,3,1,1,1,2,3,-1,4,Eliminated,
Korea/Japan 2002,E,4,Saudi Arabia,3,0,0,3,0,12,-12,0,Eliminated,
Korea/Japan 2002,F,1,Sweden,3,1,2,0,4,3,+1,5,Advance to knockout stage,
Korea/Japan 2002,F,2,England,3,1,2,0,2,1,+1,5,Advance to knockout stage,
Korea/Japan 2002,F,3,Argentina,3,1,1,1,2,2,0,4,Eliminated,
Korea/Japan 2002,F,4,Nigeria,3,0,1,2,1,3,-2,1,Eliminated,
Korea/Japan 2002,G,1,Mexico,3,2,1,0,4,2,+2,7,Advance to knockout stage,
Korea/Japan 2002,G,2,Italy,3,1,1,1,4,3,+1,4,Advance to knockout stage,
