Group_ID,Team_ID,Tournament_ID,Tournament,Group,GSRound,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Result,GR
219,CZE,ITA-90,Italy 1990,A,1,2,Czechoslovakia,3,2,0,1,6,3,3,4,Advanced,
220,AUT,ITA-90,Italy 1990,A,1,3,Austria,3,1,0,2,2,3,-1,2,Eliminated,
221,USA,ITA-90,Italy 1990,A,1,4,United States,3,0,0,3,2,8,-6,0,Eliminated,
222,CAM,ITA-90,Italy 1990,B,1,1,Cameroon,3,2,0,1,3,5,-2,4,Advanced,
223,ROM,ITA-90,Italy 1990,B,1,2,Romania,3,1,1,1,4,3,1,3,Advanced,
224,ARG,ITA-90,Italy 1990,B,1,3,Argentina,3,1,1,1,3,2,1,3,Advanced,
225,SOV,ITA-90,Italy 1990,B,1,4,Soviet Union,3,1,0,2,4,4,0,2,Eliminated,
226,BRA,ITA-90,Italy 1990,C,1,1,Brazil,3,3,0,0,4,1,3,6,Advanced,
227,COS,ITA-90,Italy 1990,C,1,2,Costa Rica,3,2,0,1,3,2,1,4,Advanced,
228,SCO,ITA-90,Italy 1990,C,1,3,Scotland,3,1,0,2,2,3,-1,2,Eliminated,
229,SWE,ITA-90,Italy 1990,C,1,4,Sweden,3,0,0,3,3,6,-3,0,Eliminated,
230,WES,ITA-90,Italy 1990,D,1,1,West Germany,3,2,1,0,10,3,7,5,Advanced,
231,YUG,ITA-90,Italy 1990,D,1,2,Yugoslavia,3,2,0,1,6,5,1,4,Advanced,
232,COL,ITA-90,Italy 1990,D,1,3,Colombia,3,1,1,1,3,2,1,3,Advanced,
233,UAE,ITA-90,Italy 1990,D,1,4,United Arab Emirates,3,0,0,3,2,11,-9,0,Eliminated,
234,SPA,ITA-90,Italy 1990,E,1,1,Spain,3,2,1,0,5,2,3,5,Advanced,
235,BEL,ITA-90,Italy 1990,E,1,2,Belgium,3,2,0,1,6,3,3,4,Advanced,
236,URU,ITA-90,Italy 1990,E,1,3,Uruguay,3,1,1,1,2,3,-1,3,Advanced,
237,SKO,ITA-90,Italy 1990,E,1,4,South Korea,3,0,0,3,1,6,-5,0,Eliminated,
238,ENG,ITA-90,Italy 1990,F,1,1,England,3,1,2,0,2,1,1,4,Advanced,
239,REP,ITA-90,Italy 1990,F,1,2,Republic of Ireland,3,0,3,0,2,2,0,3,Advanced,
240,NET,ITA-90,Italy 1990,F,1,3,Netherlands,3,0,3,0,2,2,0,3,Advanced,
241,EGY,ITA-90,Italy 1990,F,1,4,Egypt,3,0,2,1,1,2,-1,2,Eliminated,
242,ROM,USA-94,USA 1994,A,1,1,Romania,3,2,0,1,5,5,0,6,Advanced,
243,SWI,USA-94,USA 1994,A,1,2,Switzerland,3,1,1,1,5,4,1,4,Advanced,
244,USA,USA-94,USA 1994,A,1,3,United States,3,1,1,1,3,3,0,4,Advanced,
245,COL,USA-94,USA 1994,A,1,4,Colombia,3,1,0,2,4,5,-1,3,Eliminated,
246,BRA,USA-94,USA 1994,B,1,1,Brazil,3,2,1,0,6,1,5,7,Advanced,
247,SWE,USA-94,USA 1994,B,1,2,Sweden,3,1,2,0,6,4,2,5,Advanced,
248,RUS,USA-94,USA 1994,B,1,3,Russia,3,1,0,2,7,6,1,3,Eliminated,
249,CAM,USA-94,USA 1994,B,1,4,Cameroon,3,0,1,2,3,11,-8,1,Eliminated,
250,GER,USA-94,USA 1994,C,1,1,Germany,3,2,1,0,5,3,2,7,Advanced,
251,SPA,USA-94,USA 1994,C,1,2,Spain,3,1,2,0,6,4,2,5,Advanced,
252,SKO,USA-94,USA 1994,C,1,3,South Korea,3,0,2,1,4,5,-1,2,Eliminated,
253,BOL,USA-94,USA 1994,C,1,4,Bolivia,3,0,1,2,1,4,-3,1,Eliminated,
